"symbol","name","industry","snapshot_date"
"000001.SZ","平安银行","未知","2026-07-01"
"000002.SZ","万科A","未知","2026-07-01"
"000063.SZ","中兴通讯","未知","2026-07-01"
"000100.SZ","TCL科技","未知","2026-07-01"
"000157.SZ","中联重科","未知","2026-07-01"
"000166.SZ","申万宏源","未知","2026-07-01"
"000301.SZ","东方盛虹","未知","2026-07-01"
"000333.SZ","美的集团","未知","2026-07-01"
"000338.SZ","潍柴动力","未知","2026-07-01"
"000408.SZ","藏格矿业","未知","2026-07-01"
"000425.SZ","徐工机械","未知","2026-07-01"
"000538.SZ","云南白药","未知","2026-07-01"
"000568.SZ","泸州老窖","未知","2026-07-01"
"000596.SZ","古井贡酒","未知","2026-07-01"
"000617.SZ","中油资本","未知","2026-07-01"
"000625.SZ","长安汽车","未知","2026-07-01"
"000630.SZ","铜陵有色","未知","2026-07-01"
"000651.SZ","格力电器","未知","2026-07-01"
"000661.SZ","长春高新","未知","2026-07-01"
"000708.SZ","中信特钢","未知","2026-07-01"
"000725.SZ","京东方A","未知","2026-07-01"
"000768.SZ","中航西飞","未知","2026-07-01"
"000776.SZ","广发证券","未知","2026-07-01"
"000786.SZ","北新建材","未知","2026-07-01"
"000792.SZ","盐湖股份","未知","2026-07-01"
"000807.SZ","云铝股份","未知","2026-07-01"
"000858.SZ","五 粮 液","未知","2026-07-01"
"000876.SZ","新 希 望","未知","2026-07-01"
"000895.SZ","双汇发展","未知","2026-07-01"
"000938.SZ","紫光股份","未知","2026-07-01"
"000963.SZ","华东医药","未知","2026-07-01"
"000975.SZ","山金国际","未知","2026-07-01"
"000977.SZ","浪潮信息","未知","2026-07-01"
"000983.SZ","山西焦煤","未知","2026-07-01"
"000999.SZ","华润三九","未知","2026-07-01"
"001391.SZ","国货航","未知","2026-07-01"
"001965.SZ","招商公路","未知","2026-07-01"
"001979.SZ","招商蛇口","未知","2026-07-01"
"002001.SZ","新和成","未知","2026-07-01"
"002027.SZ","分众传媒","未知","2026-07-01"
"002028.SZ","思源电气","未知","2026-07-01"
"002049.SZ","紫光国微","未知","2026-07-01"
"002050.SZ","三花智控","未知","2026-07-01"
"002074.SZ","国轩高科","未知","2026-07-01"
"002142.SZ","宁波银行","未知","2026-07-01"
"002179.SZ","中航光电","未知","2026-07-01"
"002230.SZ","科大讯飞","未知","2026-07-01"
"002236.SZ","大华股份","未知","2026-07-01"
"002241.SZ","歌尔股份","未知","2026-07-01"
"002252.SZ","上海莱士","未知","2026-07-01"
"002304.SZ","洋河股份","未知","2026-07-01"
"002311.SZ","海大集团","未知","2026-07-01"
"002352.SZ","顺丰控股","未知","2026-07-01"
"002371.SZ","北方华创","未知","2026-07-01"
"002384.SZ","东山精密","未知","2026-07-01"
"002415.SZ","海康威视","未知","2026-07-01"
"002422.SZ","科伦药业","未知","2026-07-01"
"002459.SZ","晶澳科技","未知","2026-07-01"
"002460.SZ","赣锋锂业","未知","2026-07-01"
"002463.SZ","沪电股份","未知","2026-07-01"
"002466.SZ","天齐锂业","未知","2026-07-01"
"002475.SZ","立讯精密","未知","2026-07-01"
"002493.SZ","荣盛石化","未知","2026-07-01"
"002594.SZ","比亚迪","未知","2026-07-01"
"002600.SZ","领益智造","未知","2026-07-01"
"002601.SZ","龙佰集团","未知","2026-07-01"
"002625.SZ","光启技术","未知","2026-07-01"
"002648.SZ","卫星化学","未知","2026-07-01"
"002709.SZ","天赐材料","未知","2026-07-01"
"002714.SZ","牧原股份","未知","2026-07-01"
"002736.SZ","国信证券","未知","2026-07-01"
"002916.SZ","深南电路","未知","2026-07-01"
"002920.SZ","德赛西威","未知","2026-07-01"
"002938.SZ","鹏鼎控股","未知","2026-07-01"
"003816.SZ","中国广核","未知","2026-07-01"
"300014.SZ","亿纬锂能","未知","2026-07-01"
"300015.SZ","爱尔眼科","未知","2026-07-01"
"300033.SZ","同花顺","未知","2026-07-01"
"300059.SZ","东方财富","未知","2026-07-01"
"300122.SZ","智飞生物","未知","2026-07-01"
"300124.SZ","汇川技术","未知","2026-07-01"
"300251.SZ","光线传媒","未知","2026-07-01"
"300274.SZ","阳光电源","未知","2026-07-01"
"300308.SZ","中际旭创","未知","2026-07-01"
"300316.SZ","晶盛机电","未知","2026-07-01"
"300347.SZ","泰格医药","未知","2026-07-01"
"300394.SZ","天孚通信","未知","2026-07-01"
"300408.SZ","三环集团","未知","2026-07-01"
"300413.SZ","芒果超媒","未知","2026-07-01"
"300418.SZ","昆仑万维","未知","2026-07-01"
"300433.SZ","蓝思科技","未知","2026-07-01"
"300442.SZ","润泽科技","未知","2026-07-01"
"300476.SZ","胜宏科技","未知","2026-07-01"
"300498.SZ","温氏股份","未知","2026-07-01"
"300502.SZ","新易盛","未知","2026-07-01"
"300628.SZ","亿联网络","未知","2026-07-01"
"300661.SZ","圣邦股份","未知","2026-07-01"
"300750.SZ","宁德时代","未知","2026-07-01"
"300759.SZ","康龙化成","未知","2026-07-01"
"300760.SZ","迈瑞医疗","未知","2026-07-01"
"300782.SZ","卓胜微","未知","2026-07-01"
"300803.SZ","指南针","未知","2026-07-01"
"300832.SZ","新产业","未知","2026-07-01"
"300866.SZ","安克创新","未知","2026-07-01"
"300896.SZ","爱美客","未知","2026-07-01"
"300979.SZ","华利集团","未知","2026-07-01"
"300999.SZ","金龙鱼","未知","2026-07-01"
"301236.SZ","软通动力","未知","2026-07-01"
"301269.SZ","华大九天","未知","2026-07-01"
"302132.SZ","中航成飞","未知","2026-07-01"
"600000.SH","浦发银行","未知","2026-07-01"
"600009.SH","上海机场","未知","2026-07-01"
"600010.SH","包钢股份","未知","2026-07-01"
"600011.SH","华能国际","未知","2026-07-01"
"600015.SH","华夏银行","未知","2026-07-01"
"600016.SH","民生银行","未知","2026-07-01"
"600018.SH","上港集团","未知","2026-07-01"
"600019.SH","宝钢股份","未知","2026-07-01"
"600023.SH","浙能电力","未知","2026-07-01"
"600025.SH","华能水电","未知","2026-07-01"
"600026.SH","中远海能","未知","2026-07-01"
"600027.SH","华电国际","未知","2026-07-01"
"600028.SH","中国石化","未知","2026-07-01"
"600029.SH","南方航空","未知","2026-07-01"
"600030.SH","中信证券","未知","2026-07-01"
"600031.SH","三一重工","未知","2026-07-01"
"600036.SH","招商银行","未知","2026-07-01"
"600039.SH","四川路桥","未知","2026-07-01"
"600048.SH","保利发展","未知","2026-07-01"
"600050.SH","中国联通","未知","2026-07-01"
"600061.SH","国投资本","未知","2026-07-01"
"600066.SH","宇通客车","未知","2026-07-01"
"600085.SH","同仁堂","未知","2026-07-01"
"600089.SH","特变电工","未知","2026-07-01"
"600104.SH","上汽集团","未知","2026-07-01"
"600111.SH","北方稀土","未知","2026-07-01"
"600115.SH","中国东航","未知","2026-07-01"
"600150.SH","中国船舶","未知","2026-07-01"
"600160.SH","巨化股份","未知","2026-07-01"
"600161.SH","天坛生物","未知","2026-07-01"
"600176.SH","中国巨石","未知","2026-07-01"
"600183.SH","生益科技","未知","2026-07-01"
"600188.SH","兖矿能源","未知","2026-07-01"
"600196.SH","复星医药","未知","2026-07-01"
"600219.SH","南山铝业","未知","2026-07-01"
"600233.SH","圆通速递","未知","2026-07-01"
"600276.SH","恒瑞医药","未知","2026-07-01"
"600309.SH","万华化学","未知","2026-07-01"
"600346.SH","恒力石化","未知","2026-07-01"
"600362.SH","江西铜业","未知","2026-07-01"
"600372.SH","中航机载","未知","2026-07-01"
"600377.SH","宁沪高速","未知","2026-07-01"
"600406.SH","国电南瑞","未知","2026-07-01"
"600415.SH","小商品城","未知","2026-07-01"
"600426.SH","华鲁恒升","未知","2026-07-01"
"600436.SH","片仔癀","未知","2026-07-01"
"600438.SH","通威股份","未知","2026-07-01"
"600460.SH","士兰微","未知","2026-07-01"
"600482.SH","中国动力","未知","2026-07-01"
"600489.SH","中金黄金","未知","2026-07-01"
"600515.SH","海南机场","未知","2026-07-01"
"600519.SH","贵州茅台","未知","2026-07-01"
"600522.SH","中天科技","未知","2026-07-01"
"600547.SH","山东黄金","未知","2026-07-01"
"600570.SH","恒生电子","未知","2026-07-01"
"600584.SH","长电科技","未知","2026-07-01"
